DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
02-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,8.7,9.3,9.18,9,0.18,2.00%,"81,900",-
02-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.8,2.9,2.81,2.68,0.13,4.85%,"92,800",-
02-Jan-20,JUB,Jubilee Holdings Ltd,225,380.5,350,350,350,351,-1,0.28%,"64,300",-
02-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.85,3.24,3.03,3.03,-,-,"74,500",-
02-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.4,10.45,10.45,10.35,0.1,0.97%,"10,500",-
02-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,18,18,18,17.2,0.8,4.65%,"23,700",-
03-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.3,9.5,9.42,9.18,0.24,2.61%,"351,400",-
03-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.9,3.09,3,2.81,0.19,6.76%,"47,900",-
03-Jan-20,JUB,Jubilee Holdings Ltd,225,380.5,350,350,350,350,-,-,-,-
03-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3.01,3.2,3.05,3.03,0.02,0.66%,"39,100",-
03-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.5,10.5,10.5,10.45,0.05,0.48%,100,-
03-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,18,18,18,18,-,-,-,-
06-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.4,10.35,9.94,9.42,0.52,5.52%,"545,200",-
06-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.8,3.1,3,3,-,-,"155,200",-
06-Jan-20,JUB,Jubilee Holdings Ltd,225,380.5,350,350,350,350,-,-,-,-
06-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3,3.3,3.26,3.05,0.21,6.89%,"81,400",-
06-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.4,10.5,10.5,10.5,-,-,"5,500",-
06-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,18,18,18,18,-,-,"23,200",-
07-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.32,10.35,9.56,9.94,-0.38,3.82%,"173,800",-
07-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,3,3.05,3,3,-,-,"484,200",-
07-Jan-20,JUB,Jubilee Holdings Ltd,225,380.5,352,355,353.75,350,3.75,1.07%,"2,700",-
07-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3,3.1,3.04,3.26,-0.22,6.75%,"101,800",-
07-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.4,10.5,10.4,10.5,-0.1,0.95%,"9,400",-
07-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,17,18,17.55,18,-0.45,2.50%,"38,200",-
08-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9,9.5,9.18,9.56,-0.38,3.97%,"453,300",-
08-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,3,3.05,3,3,-,-,"54,900",-
08-Jan-20,JUB,Jubilee Holdings Ltd,225,380.5,355,355,355,353.75,1.25,0.35%,200,-
08-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3.05,3.1,3.05,3.04,0.01,0.33%,"252,700",-
08-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.25,10.95,10.5,10.4,0.1,0.96%,"4,500",-
08-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,18,18,18,17.55,0.45,2.56%,400,-
09-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.3,9.56,9.48,9.18,0.3,3.27%,"93,300",-
09-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.93,3.18,3.03,3,0.03,1.00%,"75,400",-
09-Jan-20,JUB,Jubilee Holdings Ltd,225,380,355,360,359.75,355,4.75,1.34%,"6,200",-
09-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3,3.08,3.01,3.05,-0.04,1.31%,"844,300",-
09-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.5,10.8,10.75,10.5,0.25,2.38%,"1,000",-
09-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,17,17.5,17.05,18,-0.95,5.28%,"25,800",-
10-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.42,9.96,9.52,9.48,0.04,0.42%,"432,700",-
10-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,3,3.15,3.01,3.03,-0.02,0.66%,"86,300",-
10-Jan-20,JUB,Jubilee Holdings Ltd,225,381,360,360,360,359.75,0.25,0.07%,300,-
10-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.95,3.02,2.98,3.01,-0.03,1.00%,"57,500",-
10-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,10,10.5,10.45,10.75,-0.3,2.79%,"12,100",-
10-Jan-20,SLAM,Sanlam Kenya Plc,13,20,17.05,17.05,17.05,17.05,-,-,-,-
13-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.5,9.9,9.68,9.52,0.16,1.68%,"30,600",-
13-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.85,3.1,3,3.01,-0.01,0.33%,"168,300",-
13-Jan-20,JUB,Jubilee Holdings Ltd,225,380,360,360,360,360,-,-,400,-
13-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3,3.03,3.02,2.98,0.04,1.34%,"236,800",-
13-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10,10.5,10.35,10.45,-0.1,0.96%,300,-
13-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,18,18,18,17.05,0.95,5.57%,"4,000",-
14-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.5,9.9,9.6,9.68,-0.08,0.83%,"186,200",-
14-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.75,3.1,2.98,3,-0.02,0.67%,"234,900",-
14-Jan-20,JUB,Jubilee Holdings Ltd,225,380.5,360,360,360,360,-,-,300,-
14-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.99,3.04,3,3.02,-0.02,0.66%,"873,600",-
14-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.2,10.2,10.2,10.35,-0.15,1.45%,"4,000",-
14-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,17,18,17.05,18,-0.95,5.28%,"5,100",-
15-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.28,9.66,9.4,9.6,-0.2,2.08%,"48,000",-
15-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.97,3,2.99,2.98,0.01,0.34%,"169,000",-
15-Jan-20,JUB,Jubilee Holdings Ltd,225,380.5,360,360,360,360,-,-,700,-
15-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3.02,3.2,3.08,3,0.08,2.67%,"54,700",-
15-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.35,10.35,10.35,10.2,0.15,1.47%,"11,000",-
15-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,16.5,17.5,16.9,17.05,-0.15,0.88%,"3,200",-
16-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.04,9.46,9.24,9.4,-0.16,1.70%,"44,000",-
16-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.75,3,2.93,2.99,-0.06,2.01%,"116,100",-
16-Jan-20,JUB,Jubilee Holdings Ltd,225,380,360,360.25,360.25,360,0.25,0.07%,"4,600",-
16-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3.01,3.21,3.04,3.08,-0.04,1.30%,"88,900",-
16-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10,10.4,10,10.35,-0.35,3.38%,"10,100",-
16-Jan-20,SLAM,Sanlam Kenya Plc,12.8,19.55,17.6,17.6,17.6,16.9,0.7,4.14%,"1,000",-
17-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.2,9.2,9.2,9.24,-0.04,0.43%,"55,500",-
17-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.85,2.99,2.88,2.93,-0.05,1.71%,"13,800",-
17-Jan-20,JUB,Jubilee Holdings Ltd,225,380,360,360,360,360.25,-0.25,0.07%,"1,400",-
17-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3,3.05,3,3.04,-0.04,1.32%,"425,800",-
17-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.4,10.4,10.4,10,0.4,4.00%,"2,000",-
17-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,17.5,17.5,17.5,17.6,-0.1,0.57%,100,-
20-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9,9.7,9.14,9.2,-0.06,0.65%,"146,800",-
20-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.85,2.98,2.94,2.88,0.06,2.08%,"39,500",-
20-Jan-20,JUB,Jubilee Holdings Ltd,225,380.5,360,360,360,360,-,-,-,-
20-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3,3.05,3.03,3,0.03,1.00%,"121,000",-
20-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.4,10.4,10.4,10.4,-,-,-,-
20-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,17.5,17.5,17.5,17.5,-,-,"5,000",-
21-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.02,9.5,9.4,9.14,0.26,2.84%,"313,000",-
21-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.9,3,3,2.94,0.06,2.04%,"263,600",-
21-Jan-20,JUB,Jubilee Holdings Ltd,225,380.5,360,360,360,360,-,-,200,-
21-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.99,3.05,3,3.03,-0.03,0.99%,"116,200",-
21-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.4,10.75,10.65,10.4,0.25,2.40%,"1,500",-
21-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,17,17.6,17.55,17.5,0.05,0.29%,"13,000",-
22-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.04,9.6,9.4,9.4,-,-,"54,600",-
22-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.9,3,2.95,3,-0.05,1.67%,"120,300",-
22-Jan-20,JUB,Jubilee Holdings Ltd,225,380.5,360,360,360,360,-,-,-,-
22-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.98,3,2.99,3,-0.01,0.33%,"195,200",-
22-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.4,10.65,10.4,10.65,-0.25,2.35%,"2,400",-
22-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,17,17.7,17.05,17.55,-0.5,2.85%,"7,000",-
23-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.3,9.5,9.36,9.4,-0.04,0.43%,"121,900",-
23-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.9,2.95,2.95,2.95,-,-,"54,300",-
23-Jan-20,JUB,Jubilee Holdings Ltd,225,381,360,360,360,360,-,-,200,-
23-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.98,3.05,3,2.99,0.01,0.33%,"387,200",-
23-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,10,10.3,10.3,10.4,-0.1,0.96%,"6,100",-
23-Jan-20,SLAM,Sanlam Kenya Plc,13,20,17,18.5,17.5,17.05,0.45,2.64%,300,-
24-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.2,9.5,9.24,9.36,-0.12,1.28%,"36,200",-
24-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.9,2.95,2.92,2.95,-0.03,1.02%,"82,800",-
24-Jan-20,JUB,Jubilee Holdings Ltd,225,380,360,360,360,360,-,-,-,-
