DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
02-Jan-19,BRIT,Britam Holdings Plc,5.7,10.65,10,10.5,10.05,10,0.05,0.50%,"101,900",-
02-Jan-19,CIC,CIC Insurance Group Ltd,2,3.65,3.7,3.9,3.82,3.86,-0.04,1.04%,"52,100",-
02-Jan-19,JUB,Jubilee Holdings Ltd,225,380,404.75,404.75,404.75,404.75,-,-,-,-
02-Jan-19,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,13.9,14,13.9,13.95,-0.05,0.36%,"32,000",3.48
02-Jan-19,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,12.95,13,12.95,12.9,0.05,0.39%,300,-
02-Jan-19,SLAM,Sanlam Kenya Plc,12.8,19.5,20,22,20.3,22,-1.7,7.73%,"2,700",-
03-Jan-19,BRIT,Britam Holdings Plc,5.7,10.65,9.8,10.05,9.92,10.05,-0.13,1.29%,"53,300",-
03-Jan-19,CIC,CIC Insurance Group Ltd,2,3.65,3.7,3.9,3.8,3.82,-0.02,0.52%,"80,900",-
03-Jan-19,JUB,Jubilee Holdings Ltd,225,380,415,420,418.75,404.75,14,3.46%,400,-
03-Jan-19,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,13.8,14.5,14,13.9,0.1,0.72%,"16,700",3.5
03-Jan-19,LBTY,Liberty Kenya Holdings Ltd,6.8,11,12.95,12.95,12.95,12.95,-,-,-,-
03-Jan-19,SLAM,Sanlam Kenya Plc,12.8,20,20,20,20,20.3,-0.3,1.48%,100,-
04-Jan-19,BRIT,Britam Holdings Plc,5.7,10.65,9.3,9.9,9.5,9.92,-0.42,4.23%,"5,800",-
04-Jan-19,CIC,CIC Insurance Group Ltd,2,3.65,3.7,3.8,3.75,3.8,-0.05,1.32%,"123,300",-
04-Jan-19,JUB,Jubilee Holdings Ltd,225,380.5,418.75,418.75,418.75,418.75,-,-,-,-
04-Jan-19,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,13.8,14.5,14.4,14,0.4,2.86%,"6,800",3.6
04-Jan-19,LBTY,Liberty Kenya Holdings Ltd,6.8,11,12.05,12.9,12.05,12.95,-0.9,6.95%,"6,100",-
04-Jan-19,SLAM,Sanlam Kenya Plc,12.8,20,20,20,20,20,-,-,"1,000",-
07-Jan-19,BRIT,Britam Holdings Plc,5.7,10.65,9,9.5,9.32,9.5,-0.18,1.89%,"22,900",-
07-Jan-19,CIC,CIC Insurance Group Ltd,2,3.65,3.7,3.8,3.73,3.75,-0.02,0.53%,"194,600",-
07-Jan-19,JUB,Jubilee Holdings Ltd,225,380.5,400,400,400,418.75,-18.75,4.48%,"1,200",-
07-Jan-19,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,13.9,14.95,14,14.4,-0.4,2.78%,"12,900",3.5
07-Jan-19,LBTY,Liberty Kenya Holdings Ltd,6.8,11,11.7,12,11.7,12.05,-0.35,2.90%,"3,500",-
07-Jan-19,SLAM,Sanlam Kenya Plc,12.8,20,20,20,20,20,-,-,"2,500",-
08-Jan-19,BRIT,Britam Holdings Plc,5.7,10.65,9.2,9.3,9.28,9.32,-0.04,0.43%,"20,700",-
08-Jan-19,CIC,CIC Insurance Group Ltd,2,3.65,3.7,3.75,3.7,3.73,-0.03,0.80%,"87,700",-
08-Jan-19,JUB,Jubilee Holdings Ltd,225,381,420,420,420,400,20,5.00%,"1,300",-
08-Jan-19,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,14,14,14,14,-,-,"21,500",3.5
08-Jan-19,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,12,12,12,11.7,0.3,2.56%,100,-
08-Jan-19,SLAM,Sanlam Kenya Plc,13,20,20,20,20,20,-,-,-,-
09-Jan-19,BRIT,Britam Holdings Plc,5.7,10.65,9,9.5,9.1,9.28,-0.18,1.94%,"154,700",-
09-Jan-19,CIC,CIC Insurance Group Ltd,2,3.65,3.6,3.75,3.7,3.7,-,-,"267,700",-
09-Jan-19,JUB,Jubilee Holdings Ltd,225,380,420,420,420,420,-,-,300,-
09-Jan-19,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,13.85,14,13.9,14,-0.1,0.71%,"24,500",3.48
09-Jan-19,LBTY,Liberty Kenya Holdings Ltd,6.8,11,11.7,12.45,12.25,12,0.25,2.08%,"1,400",-
09-Jan-19,SLAM,Sanlam Kenya Plc,12.8,20,20,21,20.95,20,0.95,4.75%,"2,300",-
10-Jan-19,BRIT,Britam Holdings Plc,5.7,10.65,9,10,9.6,9.1,0.5,5.49%,"27,500",-
10-Jan-19,CIC,CIC Insurance Group Ltd,2,3.65,3.5,3.75,3.64,3.7,-0.06,1.62%,"214,000",-
10-Jan-19,JUB,Jubilee Holdings Ltd,225,380.5,420,420,420,420,-,-,-,-
10-Jan-19,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,13.85,14,13.9,13.9,-,-,"18,600",3.48
10-Jan-19,LBTY,Liberty Kenya Holdings Ltd,6.8,11,12,12.5,12.2,12.25,-0.05,0.41%,"1,900",-
10-Jan-19,SLAM,Sanlam Kenya Plc,12.8,20,20.95,20.95,20.95,20.95,-,-,-,-
11-Jan-19,BRIT,Britam Holdings Plc,5.7,10.65,9.92,10,9.94,9.6,0.34,3.54%,"68,300",-
11-Jan-19,CIC,CIC Insurance Group Ltd,2,3.65,3.75,3.75,3.75,3.64,0.11,3.02%,"32,300",-
11-Jan-19,JUB,Jubilee Holdings Ltd,225,380.5,415,420,415.25,420,-4.75,1.13%,"33,400",-
11-Jan-19,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,13.5,13.9,13.85,13.9,-0.05,0.36%,"5,500",3.46
11-Jan-19,LBTY,Liberty Kenya Holdings Ltd,6.8,11,11.9,11.95,11.9,12.2,-0.3,2.46%,700,-
11-Jan-19,SLAM,Sanlam Kenya Plc,12.8,20,21,21,21,20.95,0.05,0.24%,"2,300",-
14-Jan-19,BRIT,Britam Holdings Plc,5.7,10.65,9.94,10,9.94,9.94,-,-,"170,500",-
14-Jan-19,CIC,CIC Insurance Group Ltd,2,3.65,3.7,3.85,3.78,3.75,0.03,0.80%,"170,300",-
14-Jan-19,JUB,Jubilee Holdings Ltd,225,380.5,416,420,418.75,415.25,3.5,0.84%,"1,500",-
14-Jan-19,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,13.85,14.6,14.05,13.85,0.2,1.44%,"20,100",3.51
14-Jan-19,LBTY,Liberty Kenya Holdings Ltd,6.8,11,11.7,11.95,11.9,11.9,-,-,"7,600",-
14-Jan-19,SLAM,Sanlam Kenya Plc,12.8,20,21,21,21,21,-,-,"1,000",-
15-Jan-19,BRIT,Britam Holdings Plc,5.7,10.65,9,9.94,9.72,9.94,-0.22,2.21%,"13,500",-
15-Jan-19,CIC,CIC Insurance Group Ltd,2,3.65,3.75,4,3.81,3.78,0.03,0.79%,"135,500",-
15-Jan-19,JUB,Jubilee Holdings Ltd,225,381,417,420,419.5,418.75,0.75,0.18%,"1,900",-
15-Jan-19,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,13.85,14.05,13.9,14.05,-0.15,1.07%,"10,400",3.48
15-Jan-19,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,11.6,12,11.65,11.9,-0.25,2.10%,"2,400",-
15-Jan-19,SLAM,Sanlam Kenya Plc,13,20,21,21,21,21,-,-,-,-
16-Jan-19,BRIT,Britam Holdings Plc,5.7,10.65,9.72,10,9.88,9.72,0.16,1.65%,"28,800",-
16-Jan-19,CIC,CIC Insurance Group Ltd,2,3.65,3.8,4,3.92,3.81,0.11,2.89%,"63,100",-
16-Jan-19,JUB,Jubilee Holdings Ltd,225,380,423,423,423,419.5,3.5,0.83%,900,-
16-Jan-19,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,13.85,14.95,14.3,13.9,0.4,2.88%,"24,200",3.58
16-Jan-19,LBTY,Liberty Kenya Holdings Ltd,6.8,11,11.65,11.9,11.85,11.65,0.2,1.72%,"4,000",-
16-Jan-19,SLAM,Sanlam Kenya Plc,12.8,20,21,21,21,21,-,-,"2,700",-
17-Jan-19,BRIT,Britam Holdings Plc,5.7,10.65,9.5,10,9.72,9.88,-0.16,1.62%,"17,600",-
17-Jan-19,CIC,CIC Insurance Group Ltd,2,3.65,3.8,4.05,3.98,3.92,0.06,1.53%,"217,800",-
17-Jan-19,JUB,Jubilee Holdings Ltd,225,380.5,423,460.25,431,423,8,1.89%,"1,500",-
