DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
02-Jan-20,BOC,BOC Kenya Plc,53,72,58,58,58,58,-,-,-,-
02-Jan-20,BAT,British American Tobacco Kenya Plc,305,545,475,490,478,500,-22,4.40%,500,-
02-Jan-20,CARB,Carbacid Investments Plc,7.1,9.4,8,8.3,8.18,8,0.18,2.25%,"3,000",-
02-Jan-20,EABL,East African Breweries Ltd,135,222.25,196,196,196,198.5,-2.5,1.26%,"1,400",-
02-Jan-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,2.3,2.3,2.3,2.47,-0.17,6.88%,200,-
02-Jan-20,ORCH,Kenya Orchards Ltd,12.25,12.6,12.5,12.5,12.5,12.5,-,-,-,-
02-Jan-20,UNGA,Unga Group Ltd,26.1,37,34,34,34,34,-,-,-,-
03-Jan-20,BOC,BOC Kenya Plc,53,72,62,62,62,58,4,6.90%,"1,100",-
03-Jan-20,BAT,British American Tobacco Kenya Plc,305,545,472,472,472,478,-6,1.26%,200,-
03-Jan-20,CARB,Carbacid Investments Plc,7.1,9.4,8.2,8.3,8.22,8.18,0.04,0.49%,900,-
03-Jan-20,EABL,East African Breweries Ltd,135,222.25,196,197.5,197.5,196,1.5,0.77%,"12,800",-
03-Jan-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,2.3,2.3,2.3,2.3,-,-,800,-
03-Jan-20,ORCH,Kenya Orchards Ltd,12.25,12.6,12.5,12.5,12.5,12.5,-,-,-,-
03-Jan-20,UNGA,Unga Group Ltd,26.1,37,33.8,33.8,33.8,34,-0.2,0.59%,100,-
06-Jan-20,BOC,BOC Kenya Plc,53,72,62,62,62,62,-,-,-,-
06-Jan-20,BAT,British American Tobacco Kenya Plc,305,545,470,470,470,472,-2,0.42%,100,-
06-Jan-20,CARB,Carbacid Investments Plc,7.1,9.4,8.3,8.3,8.3,8.22,0.08,0.97%,"2,900",-
06-Jan-20,EABL,East African Breweries Ltd,135,222.25,197,197.5,197.25,197.5,-0.25,0.13%,"5,600",-
06-Jan-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,2.3,2.3,2.3,2.3,-,-,200,-
06-Jan-20,ORCH,Kenya Orchards Ltd,12.25,12.6,12.5,12.5,12.5,12.5,-,-,-,-
06-Jan-20,UNGA,Unga Group Ltd,26.1,37,33.8,33.8,33.8,33.8,-,-,-,-
07-Jan-20,BOC,BOC Kenya Plc,53,72,62,62,62,62,-,-,-,-
07-Jan-20,BAT,British American Tobacco Kenya Plc,305,545,500,500,500,470,30,6.38%,100,-
07-Jan-20,CARB,Carbacid Investments Plc,7.1,9.4,8,8.2,8,8.3,-0.3,3.61%,"31,300",-
07-Jan-20,EABL,East African Breweries Ltd,135,222.25,196,212,197.75,197.25,0.5,0.25%,"43,300",-
07-Jan-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,2.3,2.3,2.3,2.3,-,-,"10,000",-
07-Jan-20,ORCH,Kenya Orchards Ltd,12.25,12.6,12.5,12.5,12.5,12.5,-,-,-,-
07-Jan-20,UNGA,Unga Group Ltd,26.1,37,32,32,32,33.8,-1.8,5.33%,100,-
08-Jan-20,BOC,BOC Kenya Plc,53,72,62,62,62,62,-,-,-,-
08-Jan-20,BAT,British American Tobacco Kenya Plc,305,545,500,500,500,500,-,-,-,-
08-Jan-20,CARB,Carbacid Investments Plc,7.1,9.4,8,8.4,8.02,8,0.02,0.25%,"21,200",-
08-Jan-20,EABL,East African Breweries Ltd,135,222.25,197.25,198,198,197.75,0.25,0.13%,"2,200",-
08-Jan-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,2.3,2.3,2.3,2.3,-,-,500,-
08-Jan-20,ORCH,Kenya Orchards Ltd,12.25,12.6,12.5,12.5,12.5,12.5,-,-,-,-
08-Jan-20,UNGA,Unga Group Ltd,26.1,37,32,32,32,32,-,-,-,-
09-Jan-20,BOC,BOC Kenya Plc,53,72,62,62,62,62,-,-,-,-
09-Jan-20,BAT,British American Tobacco Kenya Plc,305,545,500,505,502,500,2,0.40%,"1,500",-
09-Jan-20,CARB,Carbacid Investments Plc,7.1,9.4,8,8.4,8,8.02,-0.02,0.25%,"11,400",-
09-Jan-20,EABL,East African Breweries Ltd,135,222.25,199,205,205,198,7,3.54%,"180,600",-
09-Jan-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,2.11,2.45,2.27,2.3,-0.03,1.30%,"1,400",-
09-Jan-20,ORCH,Kenya Orchards Ltd,12.25,12.6,12.5,12.5,12.5,12.5,-,-,-,-
09-Jan-20,UNGA,Unga Group Ltd,26.1,37,32,32,32,32,-,-,-,-
10-Jan-20,BOC,BOC Kenya Plc,53,72,63,63,63,62,1,1.61%,"3,800",-
10-Jan-20,BAT,British American Tobacco Kenya Plc,305,545,505,505,505,502,3,0.60%,300,-
10-Jan-20,CARB,Carbacid Investments Plc,7.1,9.4,8.2,8.5,8.5,8,0.5,6.25%,"1,096,700",-
10-Jan-20,EABL,East African Breweries Ltd,135,222.25,201,210,205,205,-,-,"513,500",-
10-Jan-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,2.07,2.45,2.1,2.27,-0.17,7.49%,"5,600",-
